지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2017-01-01,6,1.5,639,9.8,1224
90,속초,2017-01-02,8.2,4.7,2243,10.5,1402
90,속초,2017-01-03,6.2,1.7,701,11.3,1344
90,속초,2017-01-04,5.6,1.7,2237,9.8,1114
90,속초,2017-01-05,2.8,1.3,59,4,1101
90,속초,2017-01-06,4.5,1.6,2336,9.2,1358
90,속초,2017-01-07,6.5,.8,136,11.3,1315
90,속초,2017-01-08,5,4,1955,6.6,44
90,속초,2017-01-09,5.7,2,2310,9.4,1352
90,속초,2017-01-10,.4,-2.9,2339,6.2,3
90,속초,2017-01-11,-1.2,-5.3,436,2.8,1352
90,속초,2017-01-12,.8,-2.6,2400,4.6,1321
90,속초,2017-01-13,-2.7,-5.5,751,1.2,1409
90,속초,2017-01-14,-6.2,-8.4,2307,-3,1417
90,속초,2017-01-15,-2.1,-8.8,52,3.6,1420
90,속초,2017-01-16,-.5,-2.8,648,3.2,1349
90,속초,2017-01-17,1.5,-2.9,542,6.8,1445
90,속초,2017-01-18,1.9,-1.6,2338,6,1441
90,속초,2017-01-19,1.3,-3.1,429,6.4,1421
90,속초,2017-01-20,-2,-5.6,2358,1.3,341
90,속초,2017-01-21,-3.6,-8.9,530,.2,1322
90,속초,2017-01-22,-5.3,-9.4,2400,-1.3,1415
90,속초,2017-01-23,-6.1,-11.2,226,-1,1406
90,속초,2017-01-24,-4.2,-7.8,602,1.2,1345
90,속초,2017-01-25,-2.1,-9.1,533,3.8,1307
90,속초,2017-01-26,2.2,-6.8,618,7.3,1514
90,속초,2017-01-27,2.3,-2.6,2326,6.5,116
90,속초,2017-01-28,1.9,-3.9,616,6.4,1438
90,속초,2017-01-29,3,.6,1755,5.7,943
90,속초,2017-01-30,-1.3,-6.5,2359,2.7,250
90,속초,2017-01-31,-2.6,-7.6,703,3.5,1533
90,속초,2017-02-01,0,-3.4,9,4.2,1412
90,속초,2017-02-02,2.3,-5.2,358,6.6,2149
90,속초,2017-02-03,4.1,-.3,701,9.3,1507
90,속초,2017-02-04,6,-.7,737,10.6,1226
90,속초,2017-02-05,4.9,2.8,2356,7.5,2
90,속초,2017-02-06,1.6,-.9,746,4.8,1354
