지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2023-01-01,3.2,.3,2315,7.3,1346
90,속초,2023-01-02,-.5,-5.1,348,4.2,1537
90,속초,2023-01-03,0,-5.1,754,5.6,1221
90,속초,2023-01-04,.7,-2.7,715,5,1300
90,속초,2023-01-05,2.5,-1.6,2,7,1424
90,속초,2023-01-06,3.5,-1.4,224,8.4,1333
90,속초,2023-01-07,2.5,0,2331,6.7,1235
90,속초,2023-01-08,3.8,-2.2,532,9.1,1437
90,속초,2023-01-09,5.2,1.7,1903,10.2,1043
90,속초,2023-01-10,3.6,-1.7,606,9.5,1354
90,속초,2023-01-11,8,.8,148,12.9,1505
90,속초,2023-01-12,9.6,4,2121,15.1,1345
90,속초,2023-01-13,6.1,4.1,819,9,314
90,속초,2023-01-14,3.8,0,1941,7,25
90,속초,2023-01-15,-.2,-2,2315,1.8,1
90,속초,2023-01-16,-2.6,-6.8,2158,1.1,1414
90,속초,2023-01-17,-2.7,-8,412,.9,1445
90,속초,2023-01-18,-2.6,-6.9,2338,1.2,1247
90,속초,2023-01-19,.3,-6.3,23,3.7,1537
90,속초,2023-01-20,-1.1,-5.6,2359,3.6,408
90,속초,2023-01-21,-4.1,-9,815,.8,1221
90,속초,2023-01-22,-.7,-4.8,7,3.6,1543
90,속초,2023-01-23,.8,-2.4,2400,4.7,1054
90,속초,2023-01-24,-11.3,-15.1,2124,-2.4,1
90,속초,2023-01-25,-9.7,-16,652,-3.3,1335
90,속초,2023-01-26,-4.1,-7.9,2,-1,1439
90,속초,2023-01-27,-5.7,-8.9,2355,-2.5,1319
90,속초,2023-01-28,-5.4,-11,653,-.8,1542
90,속초,2023-01-29,-1.3,-6.3,232,3.3,1408
90,속초,2023-01-30,-.2,-3.7,650,3.6,1400
90,속초,2023-01-31,3.9,-2.8,549,8.3,1432
90,속초,2023-02-01,3.2,-2,2317,7.1,18
90,속초,2023-02-02,-2.2,-6.4,701,1.3,1240
90,속초,2023-02-03,-1.2,-4,52,1.7,1223
90,속초,2023-02-04,.9,-4.1,618,5.1,1528
90,속초,2023-02-05,3.7,-2.1,351,8.2,1440
90,속초,2023-02-06,5,.6,523,10.1,1544
90,속초,2023-02-07,2.6,-.4,712,5.5,1418
90,속초,2023-02-08,1.2,-1.9,746,5.6,1146
90,속초,2023-02-09,2.2,-1.6,221,5.2,1414
90,속초,2023-02-10,1.4,-.5,2156,3.6,1236
90,속초,2023-02-11,3.7,-1,200,7.4,1352
90,속초,2023-02-12,4.4,.4,455,7.2,1119
90,속초,2023-02-13,1.4,0,1532,5.6,240
90,속초,2023-02-14,-.8,-4.4,2200,1.6,1344
90,속초,2023-02-15,-1.2,-3.2,416,0,1112
90,속초,2023-02-16,1.4,-4.5,642,6.3,1522
90,속초,2023-02-17,5.5,1.1,725,9.8,1430
90,속초,2023-02-18,5.8,1.4,51,8.8,2336
90,속초,2023-02-19,5.8,1.5,2350,10.3,1358
90,속초,2023-02-20,.5,-2.3,2359,4.8,1300
90,속초,2023-02-21,-2,-5.8,704,1.5,1306
90,속초,2023-02-22,3.7,-5.6,325,8.6,1344
90,속초,2023-02-23,5.9,2.7,544,9.7,1148
90,속초,2023-02-24,3.4,-1.1,2345,8.8,1028
90,속초,2023-02-25,-.7,-3.9,2134,1.6,259
90,속초,2023-02-26,2.5,-3.7,1,7.7,1248
90,속초,2023-02-27,8.7,-.6,432,15.6,1626
90,속초,2023-02-28,9.7,6.6,655,14.9,1519
90,속초,2023-03-01,7.2,4.1,2342,10.6,1122
90,속초,2023-03-02,2.5,-.3,706,4.4,1435
90,속초,2023-03-03,8.7,2,504,14.2,1431
90,속초,2023-03-04,6.1,3.3,700,10.7,1009
90,속초,2023-03-05,7.3,.7,557,12.5,1455
90,속초,2023-03-06,14.1,6.5,305,19.3,1348
90,속초,2023-03-07,14.4,11.2,613,18,1904
90,속초,2023-03-08,15.6,8.4,2314,20.8,1204
90,속초,2023-03-09,6.6,4.9,2250,9.4,1351
90,속초,2023-03-10,9.4,5.2,628,13.6,1304
90,속초,2023-03-11,7.2,6.2,651,9.1,1146
90,속초,2023-03-12,5.5,.4,2225,8.1,845
90,속초,2023-03-13,4.2,-1.7,525,8.6,1351
90,속초,2023-03-14,9.3,6.2,27,13.2,1613
90,속초,2023-03-15,13.3,8.1,1,18.7,1648
90,속초,2023-03-16,5.7,2.1,703,10.5,1
90,속초,2023-03-17,5.6,.8,552,9.6,1319
90,속초,2023-03-18,7.1,2.3,501,10.6,1138
90,속초,2023-03-19,10,4.2,32,15.4,1041
90,속초,2023-03-20,11.7,4.7,539,16.7,1029
90,속초,2023-03-21,13,8,2312,17.3,1307
90,속초,2023-03-22,11.8,6.2,318,16,1510
90,속초,2023-03-23,10.4,6.6,2355,14,856
