지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2021-01-01,-2.9,-7.7,441,1.2,1456
90,속초,2021-01-02,-2.5,-6.3,754,1.5,1436
90,속초,2021-01-03,-2.5,-5.8,648,.7,1443
90,속초,2021-01-04,-.9,-4.2,646,3.2,1445
90,속초,2021-01-05,-3.2,-7.3,2337,.1,1429
90,속초,2021-01-06,-5.9,-9.4,538,-2.2,1345
90,속초,2021-01-07,-12.1,-14.8,803,-5.9,138
90,속초,2021-01-08,-13,-16.1,359,-9,1535
90,속초,2021-01-09,-10.2,-15.6,336,-5.3,1527
90,속초,2021-01-10,-5.9,-12.6,315,-1.2,1500
90,속초,2021-01-11,-4.4,-9.2,653,-.3,1331
90,속초,2021-01-12,-.8,-4.8,815,2.5,1355
90,속초,2021-01-13,5.7,-.8,3,9.3,1239
90,속초,2021-01-14,2.8,-1.2,2100,6,3
90,속초,2021-01-15,3.2,-1.2,541,7.8,2043
90,속초,2021-01-16,-.2,-5.3,2356,4.8,2
90,속초,2021-01-17,-3.9,-7.1,558,-.2,1523
90,속초,2021-01-18,-2.6,-6.9,2336,2.5,1226
90,속초,2021-01-19,-6.1,-10.9,540,-1.6,1514
90,속초,2021-01-20,1,-5.9,152,7.9,1541
90,속초,2021-01-21,6.4,.3,2,9.7,1532
90,속초,2021-01-22,5,2.2,817,7.3,1053
90,속초,2021-01-23,1.8,.9,1744,4.9,22
90,속초,2021-01-24,3.5,1.9,315,5.6,1201
90,속초,2021-01-25,4.1,.5,521,7.9,1234
90,속초,2021-01-26,5.3,3.4,500,8.5,1523
90,속초,2021-01-27,3.3,.3,2353,6.7,1110
90,속초,2021-01-28,-.5,-7.6,2400,8.1,1008
90,속초,2021-01-29,-6.4,-9.7,339,-2.8,1620
90,속초,2021-01-30,1.3,-7.9,18,5.1,1517
90,속초,2021-01-31,2.8,-3.1,439,8.2,1509
90,속초,2021-02-01,7.7,2.6,100,13.7,1408
90,속초,2021-02-02,-2.7,-5.8,2322,3.6,1
90,속초,2021-02-03,-2.2,-7.6,506,2,1522
90,속초,2021-02-04,.1,-2.8,733,2.9,1322
