지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2016-01-01,3.6,-2.3,3,7.6,1302
90,속초,2016-01-02,8.4,5,23,11.5,1508
90,속초,2016-01-03,6.7,2.4,1937,9.8,1032
90,속초,2016-01-04,5.4,.8,2350,9,1348
90,속초,2016-01-05,.6,-2.6,2228,4.4,1337
90,속초,2016-01-06,.5,-4.7,534,6.3,1436
90,속초,2016-01-07,-.4,-4,749,3.7,1420
90,속초,2016-01-08,-1.1,-3.4,551,2.3,1434
90,속초,2016-01-09,.1,-3.9,429,3.6,1244
90,속초,2016-01-10,1.8,-1.3,2326,5.8,1447
90,속초,2016-01-11,-2,-5.4,2258,1.3,1328
90,속초,2016-01-12,-1.8,-7.1,537,2.3,1410
90,속초,2016-01-13,-2.3,-5.9,636,1.3,1443
90,속초,2016-01-14,-2.9,-7.6,719,.9,1526
90,속초,2016-01-15,-1.7,-4,2259,2.2,1250
90,속초,2016-01-16,-.1,-5,153,5.1,1248
90,속초,2016-01-17,1.5,-1.6,1,4.3,1232
90,속초,2016-01-18,-2.9,-11.4,2358,3.5,1012
90,속초,2016-01-19,-10,-13.1,805,-7,1403
90,속초,2016-01-20,-6.3,-11,506,-.5,1425
90,속초,2016-01-21,-4,-8.6,10,.3,1253
90,속초,2016-01-22,-3.4,-6.6,654,.1,1219
90,속초,2016-01-23,-8.3,-13.4,2301,-4.4,7
90,속초,2016-01-24,-10.5,-16.4,731,-4.1,1341
90,속초,2016-01-25,-6.9,-12.4,722,-2.1,1510
90,속초,2016-01-26,-1,-7.8,22,3.2,1158
90,속초,2016-01-27,1.7,-1.3,752,5.3,1439
90,속초,2016-01-28,-.1,-3.7,233,5.6,1245
90,속초,2016-01-29,-.3,-2.1,112,1.3,1930
90,속초,2016-01-30,-.9,-1.8,637,-.2,20
90,속초,2016-01-31,-1.9,-4.3,2304,1.3,1149
90,속초,2016-02-01,-3.5,-7.2,549,.3,1406
90,속초,2016-02-02,-4.1,-9.4,539,.2,1237
90,속초,2016-02-03,-1.6,-7.9,738,2.9,1549
90,속초,2016-02-04,2.2,-1.4,706,7.1,1324
90,속초,2016-02-05,.3,-2.5,2045,3.7,1352
90,속초,2016-02-06,-3.6,-6.7,2243,-.8,1
90,속초,2016-02-07,-1.9,-7.7,429,3.2,1546
90,속초,2016-02-08,1.3,-3.7,239,4.9,1437
90,속초,2016-02-09,1.8,-2.2,438,5.3,1454
90,속초,2016-02-10,1.2,-3.8,632,5.4,1322
90,속초,2016-02-11,2.1,-3,553,5.2,1332
90,속초,2016-02-12,2.7,1.6,639,3.7,2320
90,속초,2016-02-13,3.6,1.2,2400,5.8,1022
90,속초,2016-02-14,-.3,-3.2,2307,2.1,1519
90,속초,2016-02-15,-3,-5.9,602,.4,1454
90,속초,2016-02-16,-.3,-4,448,3.6,1527
90,속초,2016-02-17,2.6,-3.2,730,6.9,1525
90,속초,2016-02-18,6.2,.7,800,10.3,1405
90,속초,2016-02-19,5.8,2.7,2357,8.5,1228
90,속초,2016-02-20,1.8,-1.5,2125,4.6,1150
90,속초,2016-02-21,1.5,-2.4,710,6,1447
90,속초,2016-02-22,3,-.9,709,6.3,1415
90,속초,2016-02-23,3.3,-1,2400,8.2,1240
90,속초,2016-02-24,-1.5,-3.3,606,1.1,1657
90,속초,2016-02-25,1.2,-3.6,407,4,1509
90,속초,2016-02-26,1.7,-1.8,2231,5.3,1137
90,속초,2016-02-27,1.9,-2.1,2356,4.9,1303
90,속초,2016-02-28,1.2,-1.9,1,4.7,1132
90,속초,2016-02-29,-1.7,-3.9,2345,.7,1443
90,속초,2016-03-01,-.3,-7.6,514,5,1412
90,속초,2016-03-02,5.8,.1,154,9.6,1439
90,속초,2016-03-03,7.2,3.9,2053,11.5,1149
90,속초,2016-03-04,4.6,3.8,531,6,1217
90,속초,2016-03-05,4.4,3.4,436,6.5,1258
90,속초,2016-03-06,5.8,2.5,2346,10.7,1447
90,속초,2016-03-07,5.2,1.6,111,9.2,1633
90,속초,2016-03-08,5.4,1.3,2340,8.3,1023
90,속초,2016-03-09,-.5,-2.5,2310,3.1,1
90,속초,2016-03-10,-.9,-4.3,504,1.8,1615
90,속초,2016-03-11,-.8,-4.4,633,2.4,1352
90,속초,2016-03-12,3.3,-3.3,11,8.6,1504
90,속초,2016-03-13,6.3,2.8,2318,9.9,1227
90,속초,2016-03-14,3.1,-.8,2357,6.3,941
90,속초,2016-03-15,6.7,-1.4,145,11.5,1254
90,속초,2016-03-16,13.1,8.6,402,18.8,1426
90,속초,2016-03-17,12.7,5.9,706,17.4,1142
90,속초,2016-03-18,13.3,8.8,2312,19.4,1513
90,속초,2016-03-19,9.1,5.2,2256,14.3,1232
90,속초,2016-03-20,6.4,1.9,2349,8.6,1153
90,속초,2016-03-21,7.8,.4,136,12.5,1400
90,속초,2016-03-22,10.1,4.3,2215,16.1,901
90,속초,2016-03-23,4.6,1.8,2352,6.3,1040
90,속초,2016-03-24,5.1,.8,135,9.4,1320
90,속초,2016-03-25,4.7,.7,2358,10.2,1231
90,속초,2016-03-26,6.8,.9,116,12,1228
90,속초,2016-03-27,9.4,2.8,21,14,1358
90,속초,2016-03-28,14,7.5,311,20.4,1507
90,속초,2016-03-29,16,11.4,842,21.5,1515
90,속초,2016-03-30,13.3,9,622,21,1434
90,속초,2016-03-31,14.4,9,535,19.9,1457
90,속초,2016-04-01,8.9,6.9,2247,15.1,134
90,속초,2016-04-02,9.6,6.7,523,13.3,1311
90,속초,2016-04-03,8.7,6.3,2354,9.9,219
90,속초,2016-04-04,9,4.2,607,14.3,1430
90,속초,2016-04-05,15.8,7,56,23.4,1427
90,속초,2016-04-06,12.6,9.1,618,16,1253
90,속초,2016-04-07,12,9.3,358,16.3,2359
90,속초,2016-04-08,17.6,10.5,620,23,1506
90,속초,2016-04-09,18.3,10.3,2359,24.1,1337
90,속초,2016-04-10,8.2,5.8,2346,10.4,1331
90,속초,2016-04-11,7.6,3.6,531,11.8,1407
90,속초,2016-04-12,8.7,3.9,139,12,1313
90,속초,2016-04-13,14.4,8.7,2,19.9,1303
90,속초,2016-04-14,13.6,7.6,433,21,1304
90,속초,2016-04-15,11.1,4.7,608,15.6,1316
90,속초,2016-04-16,14,8.4,449,22.4,1158
90,속초,2016-04-17,14,10.9,18,18,1413
90,속초,2016-04-18,11.9,6.6,2221,19.9,1353
90,속초,2016-04-19,10.9,6.5,542,15.6,1415
90,속초,2016-04-20,14.7,8.2,32,21,1730
90,속초,2016-04-21,11.4,9.3,2353,15.2,6
90,속초,2016-04-22,20.3,9,101,29.3,1446
90,속초,2016-04-23,16.3,11.7,2315,19.8,1019
90,속초,2016-04-24,12.7,6.8,2346,17.7,1149
90,속초,2016-04-25,15.9,6.1,513,23.8,1600
90,속초,2016-04-26,12.2,9,2130,19.3,138
90,속초,2016-04-27,9.2,8.5,2357,10.3,1220
90,속초,2016-04-28,9.3,6.4,2344,13.8,1711
90,속초,2016-04-29,12.7,5.2,506,19.1,2336
90,속초,2016-04-30,17.2,11,527,23,1824
90,속초,2016-05-01,13.9,10.3,2357,20.9,10
90,속초,2016-05-02,13,9.1,424,18.9,1707
90,속초,2016-05-03,14.4,11.6,625,20.6,1507
90,속초,2016-05-04,16.9,12.2,203,21.3,1418
90,속초,2016-05-05,18.2,13.3,2127,25.1,933
90,속초,2016-05-06,13.6,11.2,1012,20.4,1959
90,속초,2016-05-07,18,13,2359,24.7,1220
90,속초,2016-05-08,15.6,10.9,520,20.8,919
90,속초,2016-05-09,15.5,12,347,21.6,1353
90,속초,2016-05-10,11.5,10.2,2356,14.1,441
90,속초,2016-05-11,13.1,9.1,557,17.5,1308
90,속초,2016-05-12,19.3,10.4,50,25.7,1829
90,속초,2016-05-13,15.5,8.7,2312,21.7,1
90,속초,2016-05-14,13.1,7.3,247,17,1236
90,속초,2016-05-15,12.9,11.2,2303,15.3,1008
90,속초,2016-05-16,18.7,11.2,18,23.9,1616
90,속초,2016-05-17,21.3,13.8,515,28.1,1439
90,속초,2016-05-18,21.2,15.7,2232,28.2,1052
90,속초,2016-05-19,19.3,13.4,2353,27.9,1305
90,속초,2016-05-20,13.4,10.8,2347,17.7,1209
90,속초,2016-05-21,15.9,9.9,605,20.6,1550
90,속초,2016-05-22,16.6,11,551,21.4,1300
90,속초,2016-05-23,17,13.3,401,20.4,1434
90,속초,2016-05-24,18.3,13.9,624,23.7,1520
90,속초,2016-05-25,22.3,16,524,26.5,1758
90,속초,2016-05-26,21.8,18.9,754,24.3,1028
90,속초,2016-05-27,19.3,16.5,512,23.2,1509
90,속초,2016-05-28,22.5,16.5,2255,29,1101
90,속초,2016-05-29,21.5,15.5,159,27.1,1118
90,속초,2016-05-30,17.3,14.3,548,26,2323
90,속초,2016-05-31,21.8,16.9,2356,26.1,1424
90,속초,2016-06-01,17.8,14.4,2349,21.6,1541
90,속초,2016-06-02,18.7,12.6,450,23.3,1703
90,속초,2016-06-03,23.9,15.6,401,29.3,1808
90,속초,2016-06-04,21.2,17.1,2350,26.1,23
90,속초,2016-06-05,16.9,15.3,530,19.4,1239
90,속초,2016-06-06,18,15.7,235,21.9,1317
90,속초,2016-06-07,18.9,16.9,539,22.1,1301
90,속초,2016-06-08,19.3,17.5,426,22.6,1449
90,속초,2016-06-09,19.1,16.5,2345,21.6,1848
90,속초,2016-06-10,19.5,15.1,229,23.6,1433
90,속초,2016-06-11,22.9,17.6,141,27.4,1125
90,속초,2016-06-12,21.9,17.6,2337,29.5,926
90,속초,2016-06-13,18.6,17.5,316,21.4,1418
90,속초,2016-06-14,18.2,16.8,439,20,1258
90,속초,2016-06-15,19,17.7,154,22,1314
90,속초,2016-06-16,21.7,17.7,437,28,1645
90,속초,2016-06-17,26.5,21.8,334,30.5,1231
90,속초,2016-06-18,24.4,19.9,2337,29.1,1356
90,속초,2016-06-19,19.4,17.8,519,21.6,1514
90,속초,2016-06-20,20.6,18.1,444,23.6,1207
90,속초,2016-06-21,20.6,18.9,524,22.4,1455
90,속초,2016-06-22,19.4,18.9,2113,20.4,10
90,속초,2016-06-23,20.9,18.8,418,24.4,1246
90,속초,2016-06-24,19.3,16.4,2305,21.5,1154
90,속초,2016-06-25,22.8,16.7,1,28.2,1320
90,속초,2016-06-26,23.9,18.9,2323,29.4,1101
90,속초,2016-06-27,21.6,18.4,327,25.5,1437
90,속초,2016-06-28,19.9,18.7,356,23.4,1236
90,속초,2016-06-29,21.1,19,41,24.5,1604
90,속초,2016-06-30,22.2,19.8,3,25.5,1418
90,속초,2016-07-01,22.6,19.7,1725,27.2,854
90,속초,2016-07-02,22.7,19.7,1,25.7,1107
90,속초,2016-07-03,23.9,19.9,2357,27.9,1143
90,속초,2016-07-04,20.2,19.1,331,22.2,1419
90,속초,2016-07-05,19.1,17.2,2329,20.6,1333
90,속초,2016-07-06,18.1,17,432,19.9,1554
90,속초,2016-07-07,19.5,17.8,203,22.6,1530
90,속초,2016-07-08,21.2,17.4,123,26.1,1134
90,속초,2016-07-09,23.1,18.2,441,28.1,1609
