지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2022-01-01,-3.3,-9.2,413,2.1,1507
90,속초,2022-01-02,2.2,-2.4,2339,5.9,1419
90,속초,2022-01-03,.6,-3,520,3,1431
90,속초,2022-01-04,-1.2,-4.2,2208,1.8,53
90,속초,2022-01-05,-1.5,-4.9,623,1.9,1211
90,속초,2022-01-06,-1.2,-4.7,619,3.3,1028
90,속초,2022-01-07,-.4,-4.2,723,3.9,1245
90,속초,2022-01-08,3.3,-2.4,213,5.4,1534
90,속초,2022-01-09,1.9,-1.2,2349,5.2,3
90,속초,2022-01-10,1.8,-2,715,5.1,1100
90,속초,2022-01-11,-2.8,-7.1,2339,2,11
90,속초,2022-01-12,-4.2,-9.8,708,1.1,1331
90,속초,2022-01-13,-5.2,-7.2,2333,-2,1414
90,속초,2022-01-14,-3.1,-9,609,3.4,1544
90,속초,2022-01-15,1.2,-4.5,237,4.9,1446
90,속초,2022-01-16,1.4,-3.8,2400,4.4,1308
90,속초,2022-01-17,-3.4,-5.6,2354,-.5,1424
90,속초,2022-01-18,-4.5,-9.3,716,-.7,1228
90,속초,2022-01-19,-2.3,-6.1,204,1.5,1257
90,속초,2022-01-20,-3.5,-6.3,747,-.1,1351
90,속초,2022-01-21,-2.5,-6.4,28,2.4,1235
90,속초,2022-01-22,-1.1,-5.4,714,2.3,1226
90,속초,2022-01-23,1.3,-1.2,6,3.5,1240
90,속초,2022-01-24,2,-.6,2334,4,1133
90,속초,2022-01-25,2.4,-.6,26,4.3,1802
90,속초,2022-01-26,3.7,.3,2357,7.8,1347
90,속초,2022-01-27,.7,-2.8,2339,4.3,1057
90,속초,2022-01-28,-.6,-4.5,538,2.3,1245
90,속초,2022-01-29,-.5,-4.1,635,3.8,1547
90,속초,2022-01-30,-1.5,-4.6,201,2.1,1338
90,속초,2022-01-31,.9,-3.9,432,5.6,1254
90,속초,2022-02-01,.9,-1.3,631,3.5,1327
90,속초,2022-02-02,-.5,-3.5,707,3.2,1428
90,속초,2022-02-03,-.9,-4.8,648,3.8,1311
90,속초,2022-02-04,-3.1,-6.7,2350,1,1436
90,속초,2022-02-05,-5.1,-9,516,-1,1339
90,속초,2022-02-06,-2,-6.8,8,2.8,1509
90,속초,2022-02-07,-1.5,-6,654,1.9,1228
90,속초,2022-02-08,-.3,-4,529,3.9,1346
90,속초,2022-02-09,.9,-3.3,401,6.5,1443
90,속초,2022-02-10,1,-2.2,552,4.8,1152
90,속초,2022-02-11,4.1,-2.3,340,9.1,1403
90,속초,2022-02-12,4.5,.8,2000,7.3,1328
90,속초,2022-02-13,3.3,1.1,326,5.5,1055
90,속초,2022-02-14,3.4,.9,2355,5.4,1457
90,속초,2022-02-15,-2,-6.2,2343,1.8,20
90,속초,2022-02-16,-6.2,-8.6,2356,-2.9,1358
90,속초,2022-02-17,-5.4,-10.9,650,-.9,1506
90,속초,2022-02-18,.8,-6.2,227,5.3,1407
90,속초,2022-02-19,1.6,-3,2357,5.1,1325
90,속초,2022-02-20,-3.2,-6.9,702,.6,1441
90,속초,2022-02-21,-1.6,-5.7,721,3.1,1525
90,속초,2022-02-22,-3,-5.8,2356,1,1450
90,속초,2022-02-23,-4.8,-10.1,726,-1.3,1344
90,속초,2022-02-24,.4,-7.6,612,6.4,1512
90,속초,2022-02-25,5.9,-.3,648,10.6,1431
90,속초,2022-02-26,7,2.9,2244,11.2,1521
90,속초,2022-02-27,6.1,1.1,645,11,1514
90,속초,2022-02-28,6.8,3.6,641,12.7,1115
90,속초,2022-03-01,7.3,3.1,2054,11.9,1514
90,속초,2022-03-02,6.4,1.1,657,11.9,1334
90,속초,2022-03-03,5.1,1,2325,8.5,1328
90,속초,2022-03-04,9.2,0,652,17.7,1302
90,속초,2022-03-05,4.1,1,2328,10.1,1
90,속초,2022-03-06,2.3,-.5,2356,6.2,1133
90,속초,2022-03-07,4.2,-2,137,8.4,1329
90,속초,2022-03-08,5.1,1.1,716,9.8,1425
90,속초,2022-03-09,5.3,1.3,411,9.7,1356
90,속초,2022-03-10,11,2.2,633,17.4,1714
90,속초,2022-03-11,14.3,10.9,603,21,1428
90,속초,2022-03-12,8.8,4.5,650,12.5,3
90,속초,2022-03-13,5.2,3.8,512,6.4,132
90,속초,2022-03-14,6.3,4.4,2129,9.1,1700
90,속초,2022-03-15,8.3,4.1,610,11.2,1234
90,속초,2022-03-16,10.6,5.7,2,16.3,1012
90,속초,2022-03-17,5.3,4.1,2002,8.3,1
90,속초,2022-03-18,4.3,2,2300,5.7,241
90,속초,2022-03-19,1.1,-.3,559,3,1553
90,속초,2022-03-20,4.1,-.2,610,10.1,1307
90,속초,2022-03-21,4.8,.2,622,8.7,1441
90,속초,2022-03-22,4.7,.4,528,8.2,940
90,속초,2022-03-23,6.9,1.1,134,11.4,1455
90,속초,2022-03-24,10.5,6.3,636,14.9,1400
90,속초,2022-03-25,11.2,8.2,657,14.4,1508
90,속초,2022-03-26,9.7,7.3,2237,12.7,1656
90,속초,2022-03-27,10.7,5.8,2347,15.4,1336
90,속초,2022-03-28,6.9,1.7,631,11.8,1100
90,속초,2022-03-29,10.6,1.5,502,15.8,1159
90,속초,2022-03-30,11.2,5.9,2400,15.1,202
90,속초,2022-03-31,5.2,3.8,2357,7.2,1659
90,속초,2022-04-01,5.5,1.9,2348,10.3,1214
90,속초,2022-04-02,7.3,1.8,23,13.1,1247
90,속초,2022-04-03,8.7,3.8,211,13.8,1319
90,속초,2022-04-04,11.8,5,230,17,1201
90,속초,2022-04-05,15.3,7.6,425,20.6,1613
90,속초,2022-04-06,10.9,7.3,2331,14,8
90,속초,2022-04-07,11.5,7.4,621,20.2,1426
90,속초,2022-04-08,13.8,4,604,21.1,1826
90,속초,2022-04-09,23.2,17.7,451,27.2,1445
90,속초,2022-04-10,24,14.9,1945,29.8,1351
90,속초,2022-04-11,19.1,13.7,2050,23.9,927
90,속초,2022-04-12,15.3,9.7,2348,23.7,45
90,속초,2022-04-13,8.5,6.6,903,10.5,1611
90,속초,2022-04-14,9.5,7.4,411,13,1532
90,속초,2022-04-15,9.1,5.3,2358,14.1,1227
90,속초,2022-04-16,12.3,2.8,525,16.9,2110
90,속초,2022-04-17,16.9,12.9,421,20.1,913
90,속초,2022-04-18,15.3,8.7,2234,20.9,1135
90,속초,2022-04-19,12.6,6.6,453,17.1,2255
90,속초,2022-04-20,20,13.3,603,26,1410
90,속초,2022-04-21,18.6,12.9,440,23.2,1153
90,속초,2022-04-22,19.2,15.9,607,23.3,1217
90,속초,2022-04-23,14.5,10.1,2216,18.4,1057
90,속초,2022-04-24,20.5,9.2,39,25.6,1902
90,속초,2022-04-25,18.8,14.3,2221,22.2,31
90,속초,2022-04-26,19,13.8,1955,24.7,113
90,속초,2022-04-27,13.5,9,2359,21.4,1
90,속초,2022-04-28,11,8.9,1,12.1,1110
90,속초,2022-04-29,7.8,6.4,2343,10.8,1
90,속초,2022-04-30,11.3,4.4,435,17,1547
90,속초,2022-05-01,13.5,9,2127,21.1,1456
90,속초,2022-05-02,10.5,5.8,2303,15.4,1540
90,속초,2022-05-03,17.6,5.9,4,24.2,1428
90,속초,2022-05-04,23.9,19.4,13,29.1,1508
90,속초,2022-05-05,20.5,15.4,2148,24.9,1213
90,속초,2022-05-06,18.9,14.5,222,23.9,1149
90,속초,2022-05-07,13.5,9.5,2357,20.9,131
90,속초,2022-05-08,12.5,7.7,507,15.7,954
90,속초,2022-05-09,13.6,7.9,541,20,1055
90,속초,2022-05-10,13.5,7,512,19.2,1228
90,속초,2022-05-11,15.2,10.7,20,19.7,1256
90,속초,2022-05-12,14,11.1,2259,18.1,816
90,속초,2022-05-13,12.1,7.8,2358,15.3,1104
90,속초,2022-05-14,16,6.8,41,22.8,1426
90,속초,2022-05-15,15.4,9.6,357,19.7,1055
90,속초,2022-05-16,19.2,13.6,2400,26.4,1456
90,속초,2022-05-17,19.4,12.9,26,23.6,1119
90,속초,2022-05-18,23.5,17,8,27.9,1524
90,속초,2022-05-19,21.1,17.6,539,24,1951
90,속초,2022-05-20,23.1,20.1,640,27.6,1403
90,속초,2022-05-21,24.5,18.2,539,30.3,1354
90,속초,2022-05-22,20,14.9,2331,24.3,12
90,속초,2022-05-23,18.6,14,543,23.9,1412
90,속초,2022-05-24,24.6,16.9,306,30.2,1602
90,속초,2022-05-25,22.4,17.5,2400,27.8,1229
90,속초,2022-05-26,20.8,14.9,111,25.5,1311
90,속초,2022-05-27,19.7,16.8,636,24.9,1457
90,속초,2022-05-28,26.5,17.4,512,33.5,1334
90,속초,2022-05-29,22.5,16.9,2315,27.8,1258
90,속초,2022-05-30,16.9,16,2325,18.7,303
90,속초,2022-05-31,20.9,12.8,323,26.8,1820
90,속초,2022-06-01,20.7,16.3,2334,24.2,923
90,속초,2022-06-02,21.3,16.1,419,27.2,1156
90,속초,2022-06-03,19.1,17,628,21.8,901
90,속초,2022-06-04,18.7,17.3,718,22.1,1104
90,속초,2022-06-05,17.5,16.5,2115,19,1309
90,속초,2022-06-06,14.1,12.3,2005,16.9,1
90,속초,2022-06-07,13.6,11.2,2351,14.9,810
90,속초,2022-06-08,15.8,10.1,513,20,1140
90,속초,2022-06-09,15.6,12.4,17,19.7,1102
90,속초,2022-06-10,17.8,13.1,348,23,1148
90,속초,2022-06-11,17.8,15.9,202,20.2,1509
90,속초,2022-06-12,18.7,16.4,401,22.9,1228
90,속초,2022-06-13,18.4,16.4,18,21.3,830
90,속초,2022-06-14,17.3,15.9,2321,20.1,754
90,속초,2022-06-15,14.8,13.7,616,16.6,1338
90,속초,2022-06-16,18.7,13.8,521,23,2223
90,속초,2022-06-17,23.6,19.5,610,31,1423
90,속초,2022-06-18,24.6,20.5,2025,28.9,1350
90,속초,2022-06-19,23.9,19.8,512,29.4,1507
90,속초,2022-06-20,24.5,20.9,2354,28.9,1055
90,속초,2022-06-21,22.2,20,151,26.3,1445
90,속초,2022-06-22,22.3,19.7,214,25.2,1752
90,속초,2022-06-23,21.3,20.1,617,22.9,1141
90,속초,2022-06-24,26.2,20.2,250,32.7,1305
90,속초,2022-06-25,29.8,23.9,432,34.6,1654
90,속초,2022-06-26,26.4,19.8,1013,32.3,1625
90,속초,2022-06-27,24.4,21.6,1841,28.5,220
90,속초,2022-06-28,29.4,24.2,4,31.4,1231
90,속초,2022-06-29,27.1,22.8,2254,32.5,1059
90,속초,2022-06-30,22.1,21.1,1344,23.8,627
90,속초,2022-07-01,24.1,20.7,531,30.7,1652
90,속초,2022-07-02,25.1,20.7,347,31.2,1353
90,속초,2022-07-03,26.7,22,237,31.6,1249
90,속초,2022-07-04,27.4,23.7,502,31.1,1152
90,속초,2022-07-05,25.6,23.4,410,29.6,1237
90,속초,2022-07-06,25.6,23.6,438,28.8,1231
90,속초,2022-07-07,25.4,23.7,548,27.3,1207
90,속초,2022-07-08,28.3,23.3,413,33.4,1235
90,속초,2022-07-09,25.9,24.2,2316,29.4,1212
90,속초,2022-07-10,24,22.6,303,26.1,1557
90,속초,2022-07-11,22.8,21.1,2337,26.8,1053
90,속초,2022-07-12,21.7,20.3,533,24.7,1328
90,속초,2022-07-13,21.6,20.6,12,22.5,1038
90,속초,2022-07-14,22.1,20,2326,24,823
90,속초,2022-07-15,22.1,19.9,455,26,1254
90,속초,2022-07-16,22.8,20.4,1,25.4,1219
90,속초,2022-07-17,23.1,20.8,231,26.2,1152
90,속초,2022-07-18,24.4,22,358,27.2,1526
90,속초,2022-07-19,24.7,22.7,607,28.3,1404
90,속초,2022-07-20,26.2,22.9,246,31.4,1251
90,속초,2022-07-21,21.2,20,604,23.3,1
90,속초,2022-07-22,22.2,20.4,100,25.1,1613
90,속초,2022-07-23,22.9,18.8,518,26.9,1147
90,속초,2022-07-24,23.4,21.4,1,26.8,1320
90,속초,2022-07-25,23.6,21.3,527,26.4,1438
90,속초,2022-07-26,23.9,21.9,544,26.7,1216
90,속초,2022-07-27,24.7,22.5,458,28.3,1415
90,속초,2022-07-28,25,23.4,627,27.5,857
90,속초,2022-07-29,25.5,23.3,506,28.5,1241
90,속초,2022-07-30,26.2,24.6,547,29.3,1227
90,속초,2022-07-31,25,24.2,436,26.8,1520
