지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
90,속초,2020-01-01,.8,-3.4,24,4.8,1330
90,속초,2020-01-02,2.8,-2.1,37,6.6,1428
90,속초,2020-01-03,4.7,.8,638,8.5,1256
90,속초,2020-01-04,4,1.1,2400,8.1,1353
90,속초,2020-01-05,3.1,-.6,547,8.8,1350
90,속초,2020-01-06,5.3,.9,102,8.1,1308
90,속초,2020-01-07,6.5,4,432,10.9,2252
90,속초,2020-01-08,6.1,4.3,1219,10.8,3
90,속초,2020-01-09,2.7,.1,2358,6.4,1432
90,속초,2020-01-10,3.5,-1,650,8.9,1336
90,속초,2020-01-11,3.1,.1,245,6.9,1336
90,속초,2020-01-12,2,-.3,537,5.1,1124
90,속초,2020-01-13,.4,-2.7,2323,4.2,1315
90,속초,2020-01-14,-.6,-4.1,821,4.3,1515
90,속초,2020-01-15,.1,-3.6,606,5.7,1358
90,속초,2020-01-16,.7,-3.5,502,6,1402
90,속초,2020-01-17,2.8,-.7,236,6.3,1601
90,속초,2020-01-18,2.4,.1,52,6.9,1444
90,속초,2020-01-19,3.3,1.6,5,5.7,1538
90,속초,2020-01-20,2.3,-.6,2354,5.9,1439
90,속초,2020-01-21,1.2,-3.5,555,5.9,1400
90,속초,2020-01-22,5.6,2,229,11.2,1407
90,속초,2020-01-23,5.9,2.3,734,10.4,1253
90,속초,2020-01-24,4,2,1242,6.4,37
90,속초,2020-01-25,4.7,.9,356,7.7,1246
90,속초,2020-01-26,5.1,3.3,704,6.7,1817
90,속초,2020-01-27,6.4,5.1,110,7.2,2316
90,속초,2020-01-28,6.7,4,2352,8.2,1236
90,속초,2020-01-29,5.8,3.7,226,9,1436
90,속초,2020-01-30,2.5,.1,2250,6.2,330
90,속초,2020-01-31,2.1,-1.1,652,6.7,1319
90,속초,2020-02-01,4.4,.3,34,8.2,1434
90,속초,2020-02-02,3.8,-.7,405,8,1255
90,속초,2020-02-03,1.7,-.7,741,5.2,1539
90,속초,2020-02-04,1.5,-2.5,739,5.5,1525
90,속초,2020-02-05,-4,-6.9,2354,0,1
90,속초,2020-02-06,-4,-8.2,53,.5,1432
90,속초,2020-02-07,1.1,-5.9,122,5.3,1457
90,속초,2020-02-08,1.1,-1.7,2326,4.4,1413
90,속초,2020-02-09,1.8,-3.4,618,6.5,1519
90,속초,2020-02-10,4,-.1,2354,8.1,1302
90,속초,2020-02-11,7,.1,146,12.6,1415
90,속초,2020-02-12,9,5,106,11.7,1104
90,속초,2020-02-13,10.3,5.8,2339,16.1,1508
90,속초,2020-02-14,9.9,6,530,13.7,1222
90,속초,2020-02-15,8.4,4,2351,10.5,1521
90,속초,2020-02-16,2.1,-1.2,2400,5.7,1301
90,속초,2020-02-17,-2.8,-5.2,2400,-.2,1443
90,속초,2020-02-18,0,-6.1,513,5.4,1531
90,속초,2020-02-19,3.5,-.8,541,7.6,1330
90,속초,2020-02-20,5.8,1.3,708,10,1330
90,속초,2020-02-21,8.4,2.1,302,13.4,1454
90,속초,2020-02-22,6,.9,2357,8.9,20
90,속초,2020-02-23,5.6,.2,704,10.5,1316
90,속초,2020-02-24,9.6,5.6,517,12.7,1407
90,속초,2020-02-25,6.3,4.6,1005,10.8,301
90,속초,2020-02-26,2.7,.4,1845,5.2,1
90,속초,2020-02-27,2.9,0,2354,7.6,1419
90,속초,2020-02-28,5.2,-.3,159,9.3,1458
90,속초,2020-02-29,6.6,2.3,2355,9.1,1145
90,속초,2020-03-01,6.8,2.1,442,12.1,1257
90,속초,2020-03-02,4.4,1.4,2329,7.1,1150
90,속초,2020-03-03,6,-.6,619,10.5,1259
90,속초,2020-03-04,4.6,1.5,2331,8.5,1323
90,속초,2020-03-05,2.9,-1.8,621,7.3,1157
90,속초,2020-03-06,5.2,-1,337,10.9,1309
90,속초,2020-03-07,6,1.8,645,9.9,1327
90,속초,2020-03-08,7.6,2.2,710,13.2,1342
90,속초,2020-03-09,9.2,3,324,13.6,1304
90,속초,2020-03-10,7.6,5,2205,10.1,250
90,속초,2020-03-11,6.3,2.2,518,10.5,1449
90,속초,2020-03-12,10.8,4.1,217,17,1526
90,속초,2020-03-13,6.8,.7,2255,11.9,1011
90,속초,2020-03-14,5.6,-.6,532,11.7,1427
90,속초,2020-03-15,4.8,.5,2205,9,1154
90,속초,2020-03-16,5.1,0,723,8.7,1405
90,속초,2020-03-17,8.6,4,228,11.8,1541
90,속초,2020-03-18,12.9,5.5,655,18.3,1335
90,속초,2020-03-19,11.6,6.9,2338,17.1,727
90,속초,2020-03-20,11.3,5.6,627,17.4,1411
90,속초,2020-03-21,12.2,8.7,2322,17.5,1318
90,속초,2020-03-22,9.5,4.9,2307,13,1344
90,속초,2020-03-23,8.5,3.9,2324,12.9,959
90,속초,2020-03-24,8.3,3.2,203,13.3,1211
90,속초,2020-03-25,9.3,4,212,13.7,1453
90,속초,2020-03-26,13.2,6.8,302,19.3,1355
90,속초,2020-03-27,8.1,4.1,2354,14.1,338
90,속초,2020-03-28,5.2,.3,2338,7.9,1447
90,속초,2020-03-29,6.6,.4,1,11.2,1307
90,속초,2020-03-30,8.4,2,607,14,1452
90,속초,2020-03-31,10.6,4.4,401,15.8,1424
90,속초,2020-04-01,9.1,3.3,2400,13.9,248
90,속초,2020-04-02,12,2.6,452,18.4,1416
90,속초,2020-04-03,15.4,8.4,603,20.8,1359
90,속초,2020-04-04,8.4,4.6,2048,13,17
90,속초,2020-04-05,6.6,.9,314,11.8,1407
90,속초,2020-04-06,10.9,3.6,1,14.7,1506
90,속초,2020-04-07,12.5,9,2343,18.5,1146
90,속초,2020-04-08,7.4,3.4,2359,10.7,1628
90,속초,2020-04-09,7.9,3.3,600,11.3,1357
90,속초,2020-04-10,8.4,3.2,536,13.8,1216
90,속초,2020-04-11,10.1,4,257,15.4,1107
90,속초,2020-04-12,9.5,7.2,2330,11.8,238
90,속초,2020-04-13,9.5,5,511,13.8,1555
90,속초,2020-04-14,16.5,7.5,234,23.7,1324
90,속초,2020-04-15,13.5,8.1,2211,20.3,903
90,속초,2020-04-16,11.2,6.7,544,15,1440
90,속초,2020-04-17,11.7,9.1,414,13.6,1747
90,속초,2020-04-18,10.4,7.5,205,13.2,1452
90,속초,2020-04-19,9.7,6.4,609,13,1336
90,속초,2020-04-20,10.8,7.1,431,16.2,1541
90,속초,2020-04-21,8.7,5.1,2346,14,1350
90,속초,2020-04-22,7.8,4.5,553,12.1,1425
90,속초,2020-04-23,9.1,5,509,14.9,1424
90,속초,2020-04-24,12.8,6.5,420,18,1447
90,속초,2020-04-25,15.7,11.2,2321,22.7,1403
90,속초,2020-04-26,10.5,8.3,2349,14,1354
90,속초,2020-04-27,10.2,6.5,224,13.9,1710
90,속초,2020-04-28,17.6,8,1,23.2,1541
90,속초,2020-04-29,16.8,11.3,2300,22.1,1017
90,속초,2020-04-30,19.2,12.4,20,24.5,1807
90,속초,2020-05-01,25.5,18.2,616,32.4,1551
90,속초,2020-05-02,24.8,20.6,802,28.6,1419
90,속초,2020-05-03,20.8,14.6,2338,26.8,1018
90,속초,2020-05-04,15.3,12.8,2058,28,1131
90,속초,2020-05-05,15,12.2,2142,17.4,932
90,속초,2020-05-06,15.6,11.4,514,19.5,1037
90,속초,2020-05-07,14.7,8.9,447,18.7,1219
90,속초,2020-05-08,14.8,10.1,500,19.4,1106
90,속초,2020-05-09,13.7,11.7,551,15.7,1639
90,속초,2020-05-10,19,14,332,24.1,1115
90,속초,2020-05-11,20.4,16.4,544,25.2,1605
90,속초,2020-05-12,17.2,13.5,257,21.1,1651
90,속초,2020-05-13,20.8,14.7,349,26.5,1553
90,속초,2020-05-14,23,19.3,2250,29.1,1432
90,속초,2020-05-15,16.1,14.1,1441,22.6,617
90,속초,2020-05-16,15.2,14,140,16.4,1106
90,속초,2020-05-17,16.3,14.8,251,19.4,1215
90,속초,2020-05-18,14.8,13.7,2354,15.6,1139
90,속초,2020-05-19,10.3,7.8,2040,13.8,1
90,속초,2020-05-20,10.6,8.3,11,14.4,1509
90,속초,2020-05-21,13.2,9.3,419,16.9,1052
90,속초,2020-05-22,13.2,12,427,14.9,1239
90,속초,2020-05-23,14.5,11.7,514,18,1122
90,속초,2020-05-24,17.3,13.9,15,23,1815
90,속초,2020-05-25,21.2,16.3,520,24.7,1431
90,속초,2020-05-26,17.4,13.4,2400,24.6,1137
90,속초,2020-05-27,19.1,12.9,36,23.8,1706
90,속초,2020-05-28,18.1,14.3,2313,22.8,1252
90,속초,2020-05-29,17.9,13.1,515,22.5,1314
90,속초,2020-05-30,17.5,11.1,500,22.3,1334
90,속초,2020-05-31,17.7,12.9,137,21.1,1223
90,속초,2020-06-01,23.9,17.3,11,28.5,1618
90,속초,2020-06-02,19.3,13.9,2342,25.1,1500
90,속초,2020-06-03,22.6,13.9,2,27.9,2019
90,속초,2020-06-04,25.9,20.6,405,31.4,1703
90,속초,2020-06-05,18.9,17,354,24.4,10
90,속초,2020-06-06,18.4,15.5,303,21.8,1557
90,속초,2020-06-07,19.7,16.7,243,23.4,1331
90,속초,2020-06-08,22.8,16.7,440,29.4,1428
90,속초,2020-06-09,25,20.4,2102,32,1351
90,속초,2020-06-10,24.2,19.6,514,29.6,1159
90,속초,2020-06-11,24.7,21.9,318,29.1,1158
90,속초,2020-06-12,20.4,19.3,445,22.3,37
90,속초,2020-06-13,23.5,19.2,322,29.5,1455
90,속초,2020-06-14,27.3,20.4,321,33.2,1538
90,속초,2020-06-15,28.4,23.5,356,33,1423
90,속초,2020-06-16,23.5,18.7,2352,27.3,1142
90,속초,2020-06-17,22.5,17.4,303,27.5,1540
90,속초,2020-06-18,20.7,17.9,2350,24.3,55
90,속초,2020-06-19,18.1,17.2,409,18.9,1823
90,속초,2020-06-20,20.3,16.1,443,23.8,1301
90,속초,2020-06-21,21.3,18.6,2357,25,1143
90,속초,2020-06-22,21.1,17.4,325,26.7,1105
90,속초,2020-06-23,21.9,18.8,26,26,1159
90,속초,2020-06-24,20,18.8,2034,21.8,921
90,속초,2020-06-25,19.3,18.5,2346,21.6,1012
90,속초,2020-06-26,23.8,18.2,407,28.6,1523
90,속초,2020-06-27,25.3,20.6,2358,30.4,1154
90,속초,2020-06-28,21.6,19.4,509,24.1,1505
90,속초,2020-06-29,21.4,20.5,529,23.1,1345
90,속초,2020-06-30,18.7,16.4,2339,21,23
90,속초,2020-07-01,19.5,16.1,414,25,1515
90,속초,2020-07-02,22,18,39,25.7,1104
90,속초,2020-07-03,21.7,18.6,2355,25.2,1315
90,속초,2020-07-04,21.1,18,252,24.8,1418
90,속초,2020-07-05,23.2,18.4,31,28.2,1454
90,속초,2020-07-06,22.8,19,535,27.9,1006
90,속초,2020-07-07,23.1,21,104,26.9,1459
90,속초,2020-07-08,23.4,20.6,58,27,1010
90,속초,2020-07-09,22.7,21.1,401,25.8,1410
90,속초,2020-07-10,21.5,20.5,1111,22.3,1448
90,속초,2020-07-11,19.3,16.7,836,21.8,1311
90,속초,2020-07-12,19.7,15.6,426,22.8,1245
90,속초,2020-07-13,19,18.2,1031,19.9,1
90,속초,2020-07-14,18.4,17.1,509,19.8,1455
90,속초,2020-07-15,19.6,16.3,2359,23.2,1238
90,속초,2020-07-16,20.5,15.7,436,24.3,1240
90,속초,2020-07-17,21.5,17.9,201,24.9,1316
90,속초,2020-07-18,21.6,19.6,12,25.3,1139
90,속초,2020-07-19,21.1,19.3,539,24.4,903
90,속초,2020-07-20,26.9,20.8,4,30.9,1518
90,속초,2020-07-21,25.2,22,2356,28.9,1101
90,속초,2020-07-22,22.8,20.8,440,25.3,1542
90,속초,2020-07-23,21.1,19.2,2158,22.7,1025
90,속초,2020-07-24,19.8,18.3,638,20.8,137
90,속초,2020-07-25,19.9,19.4,2137,20.7,210
90,속초,2020-07-26,20.5,18.9,232,23.2,1157
90,속초,2020-07-27,20.3,19.7,159,21.4,1417
90,속초,2020-07-28,21.3,20,537,23.8,1422
90,속초,2020-07-29,21.3,20.2,426,23.5,1316
90,속초,2020-07-30,22.7,20.9,421,25.3,1234
90,속초,2020-07-31,27.6,21.5,17,33.3,1331
90,속초,2020-08-01,26.3,23.1,2354,29.6,1045
90,속초,2020-08-02,24,22.8,49,28.7,1920
90,속초,2020-08-03,26.8,23.2,509,31.1,1559
90,속초,2020-08-04,24.4,22.4,1401,29.6,358
90,속초,2020-08-05,21.5,20.6,1240,23.2,15
90,속초,2020-08-06,22.6,20.7,324,26,1707
90,속초,2020-08-07,24.2,21,2356,28.3,1106
90,속초,2020-08-08,22.2,20.8,51,23.8,1400
90,속초,2020-08-09,22.9,20.6,652,28.6,1758
90,속초,2020-08-10,25,22.9,2326,30.2,420
90,속초,2020-08-11,25.6,21.2,737,31.2,1641
90,속초,2020-08-12,28.2,22.9,545,32.4,1325
90,속초,2020-08-13,28.9,24.8,522,34.9,1220
90,속초,2020-08-14,31,29.1,38,32.9,1005
90,속초,2020-08-15,29.7,25,937,33.3,1412
90,속초,2020-08-16,28.9,25,1916,32,1509
90,속초,2020-08-17,29.3,25.3,2339,33.1,1222
90,속초,2020-08-18,28.6,24.3,601,33,1040
90,속초,2020-08-19,29.5,23.3,347,35.1,1301
90,속초,2020-08-20,24.4,21.6,2022,29.7,1
90,속초,2020-08-21,21.2,20,1057,22.5,111
90,속초,2020-08-22,22.1,20.3,144,25.1,1343
90,속초,2020-08-23,23.6,19.6,603,27.7,1530
90,속초,2020-08-24,24.7,20.4,125,28.5,1420
